STATION_ID,NAME,lat,lon,ENTRY_COUNT,EXIT_COUNT
MSTN_039,Waterfront,38.87646965,-77.0175075,1334,1554
MSTN_040,Woodley Park-Zoo Adams Morgan,38.92509293,-77.05242032,1253,2469
MSTN_041,Shady Grove,39.11993515,-77.16462968,984,7710
MSTN_042,Rockville,39.08432943,-77.14612768,832,2008
MSTN_043,Twinbrook,39.06247547,-77.12082028,929,2071
MSTN_044,Glenmont,39.06179158,-77.05355967,358,3586
MSTN_045,White Flint,39.04815917,-77.11283219,1008,1485
MSTN_046,Wheaton,39.03753496,-77.05010936,541,2223
MSTN_047,Grosvenor-Strathmore,39.02927676,-77.10385204,473,3367
MSTN_048,Forest Glen,39.01496208,-77.04291886,179,1407
MSTN_049,Greenbelt,39.01115367,-76.91105984,572,3508
MSTN_050,Medical Center,39.00006429,-77.09695461,3282,745
MSTN_051,Silver Spring,38.99395718,-77.03102013,2790,5906
MSTN_052,Bethesda,38.98440146,-77.09413151,3407,3688
MSTN_053,College Park-U of Md,38.97864144,-76.92812725,968,1844
MSTN_054,Prince Georges Plaza,38.96539325,-76.95588378,839,2203
MSTN_055,West Hyattsville,38.95504797,-76.96957895,496,1709
MSTN_056,New Carrollton,38.94779266,-76.87184353,776,4467
MSTN_057,Landover,38.93351403,-76.89120022,162,1007
MSTN_058,Cheverly,38.91663965,-76.9166303,116,705
MSTN_059,West Falls Church VT/UVA,38.90078833,-77.18909717,204,1961
MSTN_060,Rosslyn,38.89598688,-77.07091099,5583,3547
MSTN_061,Court House,38.89018331,-77.08713354,1769,3183
MSTN_062,Addison Road Seat Pleasant,38.88675561,-76.89411016,273,1708
MSTN_063,Clarendon,38.88671262,-77.09539641,851,2417
MSTN_064,East Falls Church,38.88596094,-77.15688535,456,2579
MSTN_065,Arlington|Cemetery,38.88469464,-77.06281243,620,279
MSTN_066,Virginia Square-GMU,38.88337393,-77.10297961,845,1933
MSTN_067,Dunn Loring Merrifield,38.88363291,-77.22716303,631,2431
MSTN_068,Ballston-MU,38.88219065,-77.11317115,3266,4446
MSTN_069,Vienna Fairfax-GMU,38.8776089,-77.27262462,766,6646
MSTN_070,Pentagon,38.86947048,-77.05371797,5898,5231
MSTN_071,Pentagon City,38.86189016,-77.05954122,3051,6256
MSTN_072,Crystal City,38.8579121,-77.05029211,4559,3811
MSTN_073,Ronald Reagan Washington National Airport,38.85342416,-77.04404459,2230,1218
MSTN_074,Naylor Road,38.85130916,-76.95626498,256,1378
MSTN_075,Suitland,38.84397233,-76.93187242,825,2541
MSTN_076,Southern Ave,38.84109356,-76.97505641,437,2640
MSTN_077,Branch Ave,38.82645412,-76.91146647,267,3720
MSTN_078,Braddock Road,38.81415144,-77.05366987,809,2933
MSTN_079,King St - Old Town,38.80659388,-77.06081351,2337,3207
MSTN_080,Eisenhower Ave,38.80043321,-77.07087669,378,734
MSTN_081,Van Dorn Street,38.79931543,-77.12911384,305,2081
MSTN_082,Huntington,38.79392362,-77.07520809,528,4691
MSTN_083,Franconia-Springfield,38.76652965,-77.16797251,598,4420
MSTN_084,Capitol Heights,38.88947365,-76.91181037,206,1014
MSTN_085,Largo Town Center,38.9050766,-76.84203975,385,3008
MSTN_086,Morgan Boulevard,38.89384272,-76.86807701,18,11
MSTN_090,Spring Hill,38.92895963,-77.24156035,387,476
MSTN_089,Greensboro,38.92096318,-77.2338802,493,354
MSTN_088,Tysons Corner,38.92068205,-77.22171804,1171,925
MSTN_087,McLean,38.92452955,-77.21008129,533,669
MSTN_091,Wiehle-Reston East,38.94774066,-77.34006222,1169,4574
